ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP129	Matrix metalloproteinases	11/343	24/5959	2.48971465173543e-08	8.89507143756385e-07	7.05220609486781e-07	4312/4319/4321/4322/4327/4313/4314/4316/4318/7076/7124	11
WP1533	Vitamin B12 metabolism	13/343	37/5959	6.14368160998143e-08	1.96035531679307e-06	1.5542123309783e-06	335/338/6347/8029/3383/3458/3553/3569/6288/6289/5054/6947/7124	13
WP4754	IL-18 signaling pathway	36/343	239/5959	6.48463590796691e-08	1.96035531679307e-06	1.5542123309783e-06	6362/6347/6364/6348/6351/9076/1277/1278/2920/2921/338442/3383/3458/8807/3553/3559/3569/3659/4312/4322/4313/4314/4318/4688/64332/4843/8431/5743/6004/9021/6696/7052/7076/7124/79931/80149	36
WP691	Tamoxifen metabolism	9/343	17/5959	1.00849032039515e-07	2.81397057594601e-06	2.23097707373783e-06	1557/1559/1565/1576/2326/2328/6783/6822/54657	9
WP2431	Spinal cord injury	21/343	98/5959	1.07403457097176e-07	2.81397057594601e-06	2.23097707373783e-06	301/63827/6347/1282/2919/3627/2920/3383/3458/3552/3553/3569/10288/11025/4321/4318/4843/5320/5743/6403/7124	21
WP2882	Nuclear receptors meta-pathway	38/343	268/5959	1.40738072670007e-07	3.45687890995705e-06	2.74068878357382e-06	1244/64240/64241/51129/335/345/6347/6364/1557/1559/1576/2938/2939/3082/3458/3589/3553/8431/9971/9970/5142/5743/6514/6515/115584/159963/6527/200010/11254/340024/6532/23657/8140/5552/27286/6822/7124/54657	38
WP619	Type II interferon signaling (IFNG)	12/343	34/5959	1.89611155284251e-07	4.38336376627709e-06	3.47522612781042e-06	3627/4283/2633/3383/3458/3553/3659/4843/5698/8651/9021/6772	12
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	10/343	27/5959	1.22608941382217e-06	2.67696188684507e-05	2.12235360521265e-05	59272/6347/2939/3553/3569/4312/4314/5593/23657/7124	10
WP2865	IL1 and megakaryocytes in obesity	9/343	23/5959	2.4872367548918e-06	5.14465286669725e-05	4.07879268392228e-05	6347/1232/3383/3458/3553/4318/6280/7076/7097	9
WP4329	miRNAs involvement in the immune response in sepsis	11/343	39/5959	7.63493823344981e-06	0.000150026536287289	0.00011894430090006	6348/6351/3002/3383/3552/3569/3659/3934/407008/51311/7124	11
WP2328	Allograft Rejection	15/343	76/5959	2.11127111034582e-05	0.000391874783454008	0.000310686851218391	717/1604/941/1493/6373/4283/50943/3002/3458/3605/3552/3553/3559/6772/7124	15
WP15	Selenium micronutrient network	13/343	59/5959	2.19370107785959e-05	0.000391874783454008	0.000310686851218391	335/338/6347/3383/3458/3553/3569/8942/5743/6288/6289/5054/7124	13
WP4462	Platelet-mediated interactions with vascular and circulating cells	7/343	17/5959	2.31846782987258e-05	0.000396155590060837	0.000314080767799673	6347/3383/3553/5196/6401/6403/7097	7
WP2289	Drug induction of bile acid pathway	6/343	13/5959	4.23119808286943e-05	0.000692858686069869	0.000549313435319891	1244/1576/9971/9970/200931/6822	6
WP5092	Interactions of natural killer cells in pancreatic cancer	8/343	25/5959	5.05860887432405e-05	0.000795213315043741	0.000630462411284177	6347/6348/6351/1437/2214/3002/3458/7124	8
WP176	Folate metabolism	11/343	48/5959	6.44296168609225e-05	0.000973878439474713	0.000772112007726035	335/338/6347/3383/3458/3553/3569/6288/6289/5054/7124	11
WP2875	Constitutive androstane receptor pathway	8/343	27/5959	9.37999779372056e-05	0.00136531078997488	0.00108244808847613	1244/1557/1559/1576/2939/9970/6822/54657	8
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	8/343	28/5959	0.000124819504061045	0.00175193089628539	0.00138896891737103	6347/29126/941/1493/3627/3559/8651/51311	8
WP2876	Pregnane X receptor pathway	8/343	29/5959	0.000163842775727208	0.00222035209864803	0.00176034343431048	1244/1557/1559/1576/2939/27286/6822/54657	8
WP4478	LTF danger signal response pathway	6/343	16/5959	0.000170283613600228	0.00223071533816299	0.00176855963598834	3552/3553/3569/7097/7124/54210	6
WP702	Metapathway biotransformation Phase I and II	18/343	125/5959	0.000255201936512278	0.00323530196933307	0.00256501776596381	1594/1557/1559/1565/1576/8529/9420/2326/2327/2328/92292/2938/2939/9027/4837/6783/6822/54657	18
WP558	Complement and coagulation cascades	10/343	48/5959	0.000320822406210393	0.00394010017627139	0.0031237971131012	717/728/1604/629/3426/5648/5328/5329/5054/7450	10
WP430	Statin inhibition of cholesterol production	7/343	25/5959	0.000383688056068298	0.0044349825304365	0.003516150606694	64240/64241/335/337/338/345/4547	7
WP4969	RAS and bradykinin pathways in COVID-19	7/343	25/5959	0.000383688056068298	0.0044349825304365	0.003516150606694	1636/59272/1576/3552/3553/5054/7124	7
WP465	Tryptophan metabolism	8/343	33/5959	0.000432797619688366	0.00485969898678651	0.00385287505045883	8854/316/1576/9420/3620/8942/4129/6999	8
WP2877	Vitamin D receptor pathway	19/343	142/5959	0.000452388145098746	0.00493857058399464	0.0039154061681061	838/1493/1594/1559/1565/1576/1673/50486/3488/5653/6273/6279/6280/10568/6696/6699/79689/6822/54210	19
WP299	Nuclear receptors in lipid metabolism and toxicity	7/343	26/5959	0.000499460976540862	0.00530508550758267	0.00420598717087042	1244/64240/1594/1559/1576/9971/9970	7
WP2848	Pluripotent stem cell differentiation pathway	8/343	34/5959	0.000538060813028459	0.00542199742359447	0.00429867748060523	3577/2255/3082/3589/3569/3624/7472/7474	8
WP716	Vitamin A and carotenoid metabolism	8/343	34/5959	0.000538060813028459	0.00542199742359447	0.00429867748060523	64240/64241/8854/1381/1382/9227/29881/5948	8
WP5044	Kynurenine pathway and links to cell senescence	6/343	20/5959	0.000677047722455419	0.00665199387312449	0.00527384541702116	3620/169355/3458/8942/6999/7124	6
WP75	Toll-like receptor signaling pathway	13/343	84/5959	0.000917174648605464	0.00879145455858408	0.00697005637964614	6348/6351/941/3627/6373/4283/3553/3569/6696/6772/7097/51311/7124	13
WP455	GPCRs, class A rhodopsin-like	16/343	118/5959	0.00109030238958328	0.010202115216815	0.00808845882999126	51554/1230/1232/1237/3577/3579/2867/2357/2358/2828/8843/3274/3352/5724/5739/56670	16
WP5097	CCL18 signaling pathway	8/343	39/5959	0.00141673698143343	0.0129483170628683	0.0102657073807661	1237/1278/1437/4313/4318/6615/6772/7291	8
WP3893	Development and heterogeneity of the ILC family	6/343	23/5959	0.00152235314609439	0.013597381509434	0.0107802997905249	3458/3605/3553/51561/3569/7124	6
WP4493	Cells and molecules involved in local acute inflammatory response 	5/343	16/5959	0.00158105656545096	0.0138078940049383	0.0109471986754031	3383/3552/3569/6403/7124	5
WP4494	Selective expression of chemokine receptors during T-cell polarization	6/343	24/5959	0.00193299769305343	0.016514523768913	0.0130930736188516	6348/6351/1230/1232/1437/3458	6
WP24	Peptide GPCRs	8/343	41/5959	0.00198956624241864	0.0166361602823516	0.0131895096921818	728/1230/1232/1237/3577/3579/2357/2358	8
WP3287	Overview of nanoparticle effects	5/343	17/5959	0.00213544705251719	0.0171271569722297	0.0135787825466185	1001/1282/3569/5743/7124	5
WP4790	FGF23 signaling in hypophosphatemic rickets and related disorders	5/343	17/5959	0.00213544705251719	0.0171271569722297	0.0135787825466185	249/1594/5251/142680/6696	5
WP2884	NRF2 pathway	15/343	116/5959	0.00249879815834851	0.0196405535246193	0.0155714579972876	1244/2938/2939/3082/6514/6515/115584/159963/6527/200010/11254/340024/6532/23657/54657	15
WP3929	Chemokine signaling pathway	18/343	152/5959	0.00262872944227562	0.0202566798198886	0.0160599363243258	6356/6361/6364/6370/6348/6351/1230/1232/1237/3627/6373/2921/6374/4283/3579/2268/5196/6772	18
WP1449	Regulation of toll-like receptor signaling pathway	15/343	118/5959	0.00295754972806582	0.0223522508294205	0.0177213505973175	6348/6351/941/3627/6373/4283/3553/3569/8651/6696/6772/7097/51311/7124/54210	15
