ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP530	Cytokines and inflammatory response	11/699	19/5959	1.66733888401229e-06	4.80402015956041e-05	3.87217517142328e-05	1437/1440/2919/2920/3458/3586/3589/3552/3553/3569/7124	11
WP619	Type II interferon signaling (IFNG)	15/699	34/5959	2.04789640022902e-06	5.55341317944458e-05	4.47620699245105e-05	4261/3627/4283/2633/3383/3458/3553/3659/4843/5698/5967/8651/9021/6772/6890	15
WP2865	IL1 and megakaryocytes in obesity	12/699	23/5959	2.45036372382251e-06	6.27565375934544e-05	5.05835318426519e-05	6347/1232/2149/1839/3383/3458/3553/4318/114548/6280/7076/7097	12
WP558	Complement and coagulation cascades	18/699	48/5959	3.41992201869885e-06	8.29781079273773e-05	6.68826854626423e-05	715/717/718/721/728/729/1604/629/3426/1378/2149/2152/5648/5328/5329/5054/7056/7450	18
WP4462	Platelet-mediated interactions with vascular and circulating cells	10/699	17/5959	4.16683911610687e-06	9.60456416262634e-05	7.74154846308277e-05	6347/958/3383/3553/5196/6401/6403/7042/7043/7097	10
WP4754	IL-18 signaling pathway	52/699	239/5959	4.92650615809596e-06	0.000108148539946773	8.71707605918733e-05	11096/321/330/6362/6363/6347/6364/6348/6351/1071/9076/24146/1277/1278/1281/2920/2921/338442/3383/3458/3586/8807/3553/3559/3569/3659/3801/10365/4312/4322/4313/4314/4318/4688/64332/4843/8431/3164/5743/6004/8698/9021/6696/30009/7052/7076/7124/7127/4982/79931/7185/80149	52
WP1533	Vitamin B12 metabolism	15/699	37/5959	7.3567111346331e-06	0.00015415653786663	0.000124254499068205	335/338/6347/8029/3383/3458/3553/3569/3949/6288/6289/5054/6648/6947/7124	15
WP545	Complement activation	10/699	18/5959	8.3943432096199e-06	0.000168251835636295	0.000135615704942601	715/717/718/720/721/729/1604/629/5199/5648	10
WP1604	Codeine and morphine metabolism	7/699	10/5959	2.58950018925456e-05	0.000497399828019314	0.00040091823105564	5243/1244/1558/1565/1576/54578/7364	7
WP430	Statin inhibition of cholesterol production	11/699	25/5959	5.04708925049179e-05	0.000930683257790686	0.000750156844388885	64240/64241/335/337/338/345/1071/3949/4023/4547/6713	11
WP43	Oxidation by cytochrome P450	14/699	38/5959	5.31964847930197e-05	0.000943214595753158	0.00076025745473425	1545/56603/1594/1557/1558/1559/1565/29785/54905/1576/1551/8529/260293/9420	14
WP455	GPCRs, class A rhodopsin-like	29/699	118/5959	6.65246993335253e-05	0.00113584764417612	0.000915525101938964	51554/134/150/185/27202/1230/1232/1237/3577/3579/57105/2149/2151/2867/2357/2358/2828/8111/54329/8843/3274/4543/5540/5030/5724/5737/5739/6752/56670	29
WP2911	miRNA targets in ECM and membrane receptors	10/699	22/5959	7.98144331693626e-05	0.00131408763182415	0.00105919153792425	1278/1281/1282/1284/1290/50509/1291/1293/22801/7058	10
WP15	Selenium micronutrient network	18/699	59/5959	8.65971060553176e-05	0.00137659537556901	0.00110957453493746	335/338/6347/1735/3383/3458/3553/3569/8564/8942/3949/5743/6288/6289/5054/6648/7124/7498	18
WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	8/699	15/5959	0.000104180604211643	0.00152217702920625	0.00122691743648774	335/338/1071/3949/9388/4023/4547/255738	8
WP5109	Familial hyperlipidemia type 2	8/699	15/5959	0.000104180604211643	0.00152217702920625	0.00122691743648774	335/337/338/1071/2690/3949/4023/255738	8
WP2880	Glucocorticoid receptor pathway	19/699	65/5959	0.00010566087838308	0.00152217702920625	0.00122691743648774	51129/8553/330/6347/6364/1907/9982/3589/8972/9970/5142/5743/6286/5272/1836/5552/2040/7056/84951	19
WP5090	Complement system in neuronal development and plasticity	24/699	93/5959	0.000124030687502158	0.00173267111934833	0.00139658158495253	715/717/718/720/721/722/725/728/27202/729/843/1604/629/3426/5199/10584/1378/2219/8547/3458/3687/5648/7042/7043	24
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	11/699	28/5959	0.00017444005878801	0.00236520197356684	0.00190641921833336	6347/29126/941/1493/3627/3559/5133/8651/7042/7043/51311	11
WP3529	Zinc homeostasis	12/699	33/5959	0.000210721451311457	0.00277550254441662	0.00223713300189306	4489/4493/4494/4495/4496/4499/4501/4504/55532/7780/169026/29986	12
WP2876	Pregnane X receptor pathway	11/699	29/5959	0.000251645294618956	0.00322245780053719	0.00259739149124245	5243/1244/1557/1559/1576/1551/2939/27286/6822/54657/54578	11
WP5092	Interactions of natural killer cells in pancreatic cancer	10/699	25/5959	0.000290208805935301	0.00339900422053216	0.00273969286413484	6347/6348/6351/1437/2214/3002/3458/4277/5551/7124	10
WP2848	Pluripotent stem cell differentiation pathway	12/699	34/5959	0.000291428552388185	0.00339900422053216	0.00273969286413484	3577/22943/2246/2255/3082/3589/3569/3624/6469/7043/7472/7474	12
WP716	Vitamin A and carotenoid metabolism	12/699	34/5959	0.000291428552388185	0.00339900422053216	0.00273969286413484	64240/64241/8854/1381/1382/56603/4023/9227/29881/5948/6258/195814	12
WP2431	Spinal cord injury	24/699	98/5959	0.000294924444297801	0.00339900422053216	0.00273969286413484	301/63827/6347/50515/1282/2919/3627/2920/2212/3383/3458/3552/3553/3569/10288/11025/4321/4318/4843/3164/5320/5743/6403/7124	24
WP3942	PPAR signaling pathway	16/699	54/5959	0.000309030778908021	0.00344854697730238	0.00277962571751967	2180/2182/51129/335/345/364/126129/2172/3158/4023/4199/4312/4973/5105/6258/6319	16
WP4329	miRNAs involvement in the immune response in sepsis	13/699	39/5959	0.000314184323311714	0.00344854697730238	0.00277962571751967	6348/6351/3002/3383/3586/3552/3569/3659/3934/114614/407008/51311/7124	13
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	50/699	265/5959	0.000360424713603861	0.00386408820863674	0.00311456362061598	285/1101/1277/1278/1281/1282/1284/1286/1290/50509/84699/9586/1440/1441/1942/1969/2149/2246/2255/2259/2252/2254/2690/2786/3082/3091/3559/22801/3673/3678/3687/3718/3791/284217/3918/4843/4846/5008/9180/5159/5209/5228/23035/5522/6514/6515/6696/7058/3371/7450	50
WP2875	Constitutive androstane receptor pathway	10/699	27/5959	0.000601678114294963	0.0063039456974995	0.0050811572810077	5243/1244/1557/1559/1576/2939/9970/6822/54657/54578	10
WP1433	Nucleotide-binding oligomerization domain (NOD) pathway	12/699	37/5959	0.000705972933648153	0.00723230049803997	0.00582943732345726	9447/84674/834/838/50506/3553/4210/91662/114548/199713/639/8767	12
WP2884	NRF2 pathway	26/699	116/5959	0.000736136200708936	0.00737736496797433	0.00594636336041772	1244/874/1969/2938/2939/1839/3082/23764/4199/3084/6514/6515/29986/115584/159963/6527/200010/11254/340024/6532/6533/23657/7042/54657/54578/7364	26
WP176	Folate metabolism	14/699	48/5959	0.000865370084517416	0.00848799168005381	0.00684155968274688	335/338/6347/3383/3458/3553/3569/3949/6288/6289/5054/113235/6648/7124	14
WP5094	Orexin receptor pathway	25/699	112/5959	0.000985520018054683	0.00946509850673351	0.00762913522748471	8553/2920/1846/1959/1960/1839/3091/3383/3586/3553/3569/3949/4023/23764/4322/4314/4846/3164/8013/5069/6241/6401/6696/3371/7124	25
WP5097	CCL18 signaling pathway	12/699	39/5959	0.00119463129151108	0.0112392862323797	0.00905918036312375	1237/960/1278/1437/3091/440823/4313/4318/6615/6772/7020/7291	12
WP5110	Familial hyperlipidemia type 3	6/699	12/5959	0.00126165546844901	0.0113541142082741	0.00915173493668397	335/337/1071/3949/4023/7436	6
WP247	Small ligand GPCRs	7/699	16/5959	0.00130535369422674	0.0113541142082741	0.00915173493668397	4543/5724/5737/5739/1901/1903/8698	7
WP4478	LTF danger signal response pathway	7/699	16/5959	0.00130535369422674	0.0113541142082741	0.00915173493668397	3552/3553/3569/4057/7097/7124/54210	7
WP4493	Cells and molecules involved in local acute inflammatory response 	7/699	16/5959	0.00130535369422674	0.0113541142082741	0.00915173493668397	718/729/3383/3552/3569/6403/7124	7
WP4969	RAS and bradykinin pathways in COVID-19	9/699	25/5959	0.00142918104863672	0.0122009715448431	0.00983432573428386	1636/183/185/1576/3552/3553/4846/5054/7124	9
WP706	Sudden infant death syndrome (SIDS) susceptibility pathways	27/699	128/5959	0.00155515603320328	0.0130350351146675	0.0105066043965695	116/8553/720/721/1141/54738/2328/3091/3359/3586/3552/3553/3557/3569/3764/4760/4821/4824/5452/6507/6532/6750/6752/7068/7124/7161/7166	27
WP24	Peptide GPCRs	12/699	41/5959	0.00193484210277138	0.0158685240715656	0.0127904760754942	185/728/1230/1232/1237/3577/3579/2357/2358/5540/6752/7253	12
WP453	Inflammatory response pathway	9/699	26/5959	0.00196205178325215	0.0158685240715656	0.0127904760754942	958/941/1277/1278/1281/3458/3559/3568/3918	9
WP4724	Omega-9 fatty acid synthesis	6/699	13/5959	0.00211248848406316	0.0165060540873409	0.0133043431734932	2180/2182/54898/60481/3992/6319	6
WP5108	Familial  hyperlipidemia type 1	6/699	13/5959	0.00211248848406316	0.0165060540873409	0.0133043431734932	51129/335/337/1071/3949/4023	6
WP4172	PI3K-Akt signaling pathway	49/699	280/5959	0.00228351723567462	0.0175450240941	0.0141417821788271	285/1101/1277/1278/1282/1284/1286/1291/1293/256076/131873/84699/9586/1440/1441/1942/1969/2149/2246/2255/2259/2252/2254/2690/2786/3082/3559/3569/22801/3673/3678/3718/3791/284217/3918/4846/5008/9180/5105/5159/5228/23035/8503/5522/6696/7058/7097/3371/7450	49
WP117	GPCRs, other	11/699	37/5959	0.00258028247699882	0.0195001675720731	0.0157176827330558	27202/3577/3579/2149/29933/11245/53831/59340/5737/1901/6752	11
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	9/699	27/5959	0.00264223861773074	0.019646322625385	0.0158354878108481	6347/2939/3553/3569/4312/4314/5593/23657/7124	9
WP5033	Genes associated with the development of rheumatoid arthritis	7/699	18/5959	0.00294144357475741	0.021523896634336	0.0173488651944756	958/4261/1493/3559/23569/6583/7185	7
WP697	Estrogen metabolism	6/699	14/5959	0.0033339511439033	0.0238796812681742	0.019247693772498	1545/1576/2938/412/54578/7364	6
WP3893	Development and heterogeneity of the ILC family	8/699	23/5959	0.00336698325907012	0.0238796812681742	0.019247693772498	3458/3605/3553/51561/90865/3569/30009/7124	8
WP465	Tryptophan metabolism	10/699	33/5959	0.00343341034263616	0.0239818510296253	0.0193300454697059	8854/316/1545/1576/9420/3620/8942/4129/6999/7166	10
