ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
WP1533	Vitamin B12 metabolism	10/326	37/5959	1.93694234446376e-05	0.000353261389490296	0.000295153119156383	6347/3383/3458/3553/3569/6288/6289/5054/6648/6947	10
WP4494	Selective expression of chemokine receptors during T-cell polarization	8/326	24/5959	2.50330362533786e-05	0.000435802403865636	0.000364116890958234	6348/6351/1230/1437/3458/3595/7042/7043	8
WP474	Endochondral ossification	12/326	57/5959	4.46161696075175e-05	0.000711999706653301	0.000594882261433567	9510/9507/249/1280/2247/4256/4322/5328/5744/6696/6772/7042	12
WP4808	Endochondral ossification with skeletal dysplasias	12/326	57/5959	4.46161696075175e-05	0.000711999706653301	0.000594882261433567	9510/9507/249/1280/2247/4256/4322/5328/5744/6696/6772/7042	12
WP619	Type II interferon signaling (IFNG)	9/326	34/5959	6.1017937480199e-05	0.000934794802196649	0.000781029599746548	3627/4283/2633/3383/3458/3553/4843/9021/6772	9
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	30/326	265/5959	9.9594948782957e-05	0.00146711020707202	0.00122578398502101	285/1277/1278/1280/1281/1282/1284/1289/1290/50509/9586/1440/1441/2255/2247/2252/3082/3559/3678/10319/4843/5008/9180/5209/5228/6515/6696/7058/3371/7450	30
WP5090	Complement system in neuronal development and plasticity	15/326	93/5959	0.000135116665109318	0.00191665491618032	0.00160138269759192	722/725/728/27202/729/1604/3426/10584/1380/2219/8547/3458/5648/7042/7043	15
WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	12/326	65/5959	0.00017106396734932	0.00233991069624249	0.00195501676970652	2354/8456/94234/10468/2619/3458/3488/5653/5650/22822/11005/7474	12
WP3967	miR-509-3p alteration of YAP1/ECM axis	6/326	17/5959	0.000189463283040268	0.00250222197946285	0.00209062933009951	1277/1281/1289/1909/7058/7291	6
WP2328	Allograft Rejection	13/326	76/5959	0.000206135564110445	0.00263166403514335	0.00219877935051142	729/1604/1289/6373/4283/50943/3002/3458/3605/3552/3553/3559/6772	13
WP615	Senescence and autophagy in cancer	15/326	97/5959	0.000219256751908395	0.00270888180583598	0.00226329550357053	6348/1051/1277/1281/2919/3458/3488/3552/3553/11009/3569/3624/5328/5054/29986	15
WP2877	Vitamin D receptor pathway	19/326	142/5959	0.000237219591180761	0.00283922198194474	0.00237219591180761	768/1543/1594/168002/1673/50486/3488/9173/5653/5744/6273/6279/6280/219855/6696/79689/7042/7056/54210	19
WP5092	Interactions of natural killer cells in pancreatic cancer	7/326	25/5959	0.000280719778965096	0.00325805076798884	0.00272213118996456	6347/6348/6351/1437/2214/3002/3458	7
WP15	Selenium micronutrient network	11/326	59/5959	0.000291188424041165	0.0032801519531696	0.00274059693215214	6347/3383/3458/3553/3569/8942/5743/6288/6289/5054/6648	11
WP465	Tryptophan metabolism	8/326	33/5959	0.00030641869335175	0.00335309598724915	0.002801542339216	8854/316/1543/1545/9420/3620/8942/6999	8
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	7/326	28/5959	0.000599845101059269	0.00638168538071389	0.00533195645386017	6347/29126/3627/3559/7042/7043/51311	7
WP176	Folate metabolism	9/326	48/5959	0.000989981285390083	0.0100030584946499	0.0083576467840417	6347/3383/3458/3553/3569/6288/6289/5054/6648	9
WP4329	miRNAs involvement in the immune response in sepsis	8/326	39/5959	0.00101858820180508	0.0100030584946499	0.0083576467840417	6348/6351/3002/3383/3552/3569/3934/51311	8
WP5097	CCL18 signaling pathway	8/326	39/5959	0.00101858820180508	0.0100030584946499	0.0083576467840417	1237/1278/1437/4313/6615/6772/7020/7291	8
WP4478	LTF danger signal response pathway	5/326	16/5959	0.00125789163922554	0.0117074007759347	0.00978164033498459	3552/3553/3569/7097/54210	5
WP4493	Cells and molecules involved in local acute inflammatory response 	5/326	16/5959	0.00125789163922554	0.0117074007759347	0.00978164033498459	729/3383/3552/3569/6403	5
WP4172	PI3K-Akt signaling pathway	28/326	280/5959	0.00128384029396673	0.0117074007759347	0.00978164033498459	285/1277/1278/1280/1282/1284/1293/131873/9586/1440/1441/2255/2247/2252/3082/3559/3569/3678/10319/4915/5008/9180/5228/6696/7058/7097/3371/7450	28
WP2374	Oncostatin M signaling pathway	10/326	64/5959	0.00225579673842221	0.0200923290887373	0.0167873245650025	6347/1051/4312/4322/4314/5008/9180/5054/9021/6772	10
WP4239	Epithelial to mesenchymal transition in colorectal cancer	16/326	134/5959	0.00248007576012865	0.0215879321847562	0.0180369146191175	9076/51208/9073/1282/1284/94234/11211/3678/4313/4854/6615/7042/7043/7291/7472/7474	16
WP5087	Malignant pleural mesothelioma	32/326	350/5959	0.00259029063343353	0.0220462513912231	0.0184198445044162	285/6347/6351/29126/1001/1282/1284/1437/1440/2919/3627/6374/2255/2247/2252/8061/11211/3082/3620/3553/3569/10319/4313/4314/4915/5228/5328/6423/8140/6772/7472/7474	32
WP5113	Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	6/326	27/5959	0.0028473176460301	0.0237070143136854	0.0198074271028181	6347/3553/3569/4312/4314/23657	6
WP2882	Nuclear receptors meta-pathway	26/326	268/5959	0.00291243504039262	0.0237259535434245	0.019823251002339	8647/874/6347/6364/1543/1545/3082/3458/3589/3553/55554/3084/5142/5743/154091/6515/29986/160728/11254/23657/8140/5552/27286/7042/7056/84951	26
WP5094	Orexin receptor pathway	14/326	112/5959	0.00297348765035085	0.0237259535434245	0.019823251002339	2920/1846/2354/3383/3553/3569/4023/4322/4314/64106/8013/6401/6696/3371	14
